time,src,dst,latency
540,692,758,70.232908
540,558,89,-1.000000
540,604,432,-1.000000
540,32,30,2.422425
540,95,223,14.358639
550,654,114,98.232993
550,25,759,41.053277
550,281,250,37.557208
550,228,142,41.226547
550,754,104,91.483163
550,692,758,70.245495
550,558,89,-1.000000
550,604,432,-1.000000
550,32,30,2.422391
550,95,223,14.373250
560,654,114,98.194834
560,25,759,41.119564
560,281,250,37.556847
560,228,142,41.226336
560,754,104,91.517430
560,692,758,70.257816
560,558,89,-1.000000
560,604,432,-1.000000
560,32,30,2.422362
560,95,223,14.387737
570,654,114,98.155417
570,25,759,41.187303
570,281,250,37.556480
570,228,142,41.226080
570,754,104,91.550067
570,692,758,70.270039
570,558,89,-1.000000
570,604,432,-1.000000
570,32,30,2.422322
570,95,223,14.402082
580,654,114,98.114752
580,25,759,41.256517
580,281,250,37.556113
580,228,142,41.225853
580,754,104,91.581167
580,692,758,70.282047
580,558,89,-1.000000
580,604,432,-1.000000
580,32,30,2.422312
580,95,223,14.416393
590,654,114,98.072861
590,25,759,41.327159
590,281,250,37.555722
590,228,142,41.225643
590,754,104,91.610511
590,692,758,70.293949
590,558,89,-1.000000
590,604,432,-1.000000
590,32,30,2.422291
590,95,223,14.430520
600,654,114,98.029719
600,25,759,41.399098
600,281,250,37.555389
600,228,142,41.225388
600,754,104,91.638310
600,692,758,70.305525
600,558,89,-1.000000
600,604,432,-1.000000
600,32,30,2.422268
600,95,223,14.444601
610,654,114,97.985394
610,25,759,41.472428
610,281,250,37.555029
610,228,142,41.225173
610,754,104,91.664413
610,692,758,70.316976
610,558,89,-1.000000
610,604,432,-1.000000
610,32,30,2.422239
610,95,223,14.458480
620,654,114,97.939844
620,25,759,41.546971
620,281,250,37.554660
620,228,142,41.224931
620,754,104,91.688859
620,692,758,70.328273
620,558,89,-1.000000
620,604,432,-1.000000
620,32,30,2.422211
620,95,223,14.472276
630,654,114,97.893129
630,25,759,41.622731
630,281,250,37.554257
630,228,142,41.224665
630,754,104,91.711603
630,692,758,70.339327
630,558,89,-1.000000
630,604,432,-1.000000
630,32,30,2.422237
630,95,223,14.485942
640,654,114,97.845278
640,25,759,41.699700
640,281,250,37.553916
640,228,142,41.224397
640,754,104,91.732695
640,692,758,70.350159
640,558,89,-1.000000
640,604,432,-1.000000
640,32,30,2.422212
640,95,223,14.499439
650,654,114,97.796233
650,25,759,41.777786
650,281,250,37.553585
650,228,142,41.224158
650,754,104,91.752088
650,692,758,70.360873
650,558,89,-1.000000
650,604,432,-1.000000
650,32,30,2.422185
650,95,223,14.512820
660,654,114,97.746119
660,25,759,41.856897
660,281,250,37.553208
660,228,142,41.223879
660,754,104,91.769819
660,692,758,70.371308
660,558,89,-1.000000
660,604,432,-1.000000
660,32,30,2.422154
660,95,223,14.526034
670,654,114,97.694847
670,25,759,41.937045
670,281,250,37.552845
670,228,142,41.223602
670,754,104,91.785829
670,692,758,70.381572
670,558,89,-1.000000
670,604,432,-1.000000
670,32,30,2.422132
670,95,223,14.539101
680,654,114,97.642482
680,25,759,42.018245
680,281,250,37.552468
680,228,142,41.223330
680,754,104,91.800163
680,692,758,70.391549
680,558,89,-1.000000
680,604,432,-1.000000
680,32,30,2.422130
680,95,223,14.552014
690,654,114,97.589024
690,25,759,42.100335
690,281,250,37.552133
690,228,142,41.223050
690,754,104,91.812739
690,692,758,70.401367
690,558,89,-1.000000
690,604,432,-1.000000
690,32,30,2.422079
690,95,223,14.564774
700,654,114,97.534576
700,25,759,42.183295
700,281,250,37.551759
700,228,142,41.222801
700,754,104,91.823589
700,692,758,70.410934
700,558,89,-1.000000
700,604,432,-1.000000
700,32,30,2.422072
700,95,223,14.577325
710,654,114,97.479045
710,25,759,42.267067
710,281,250,37.551389
710,228,142,41.222511
710,754,104,91.832783
710,692,758,70.420275
710,558,89,-1.000000
710,604,432,-1.000000
710,32,30,2.422056
710,95,223,14.589715
720,654,114,97.422493
720,25,759,42.351668
720,281,250,37.551049
720,228,142,41.222191
720,754,104,91.840236
720,692,758,70.429400
720,558,89,-1.000000
720,604,432,-1.000000
720,32,30,2.422004
720,95,223,14.601937
730,654,114,97.364940
730,25,759,42.437012
730,281,250,37.550702
730,228,142,41.221902
730,754,104,91.845963
730,692,758,70.438259
730,558,89,-1.000000
730,604,432,-1.000000
730,32,30,2.422005
730,95,223,14.613981
740,654,114,97.306385
740,25,759,42.523041
740,281,250,37.550318
740,228,142,41.221645
740,754,104,91.849990
740,692,758,70.446976
740,558,89,-1.000000
740,604,432,-1.000000
740,32,30,2.422005
740,95,223,14.625809
750,654,114,97.246909
750,25,759,42.609680
750,281,250,37.549974
750,228,142,41.221332
750,754,104,91.852251
750,692,758,70.455330
750,558,89,-1.000000
750,604,432,-1.000000
750,32,30,2.421927
750,95,223,14.637448
760,654,114,97.186498
760,25,759,42.696940
760,281,250,37.549626
760,228,142,41.221046
760,754,104,91.852828
760,692,758,70.463491
760,558,89,-1.000000
760,604,432,-1.000000
760,32,30,2.421944
760,95,223,14.648914
770,654,114,97.125163
770,25,759,42.784777
770,281,250,37.549265
770,228,142,41.220755
770,754,104,91.851658
770,692,758,70.471402
770,558,89,-1.000000
770,604,432,-1.000000
770,32,30,2.421944
770,95,223,14.660163
780,654,114,97.062928
780,25,759,42.873085
780,281,250,37.548914
780,228,142,41.220443
780,754,104,91.848757
780,692,758,70.479090
780,558,89,-1.000000
780,604,432,-1.000000
780,32,30,2.421884
780,95,223,14.671210
790,654,114,96.999841
790,25,759,42.961832
790,281,250,37.548587
790,228,142,41.220072
790,754,104,91.844152
790,692,758,70.486529
790,558,89,-1.000000
790,604,432,-1.000000
790,32,30,2.421880
790,95,223,14.682071
800,654,114,96.935891
800,25,759,43.050995
800,281,250,37.548210
800,228,142,41.219804
800,754,104,91.837792
800,692,758,70.493667
800,558,89,-1.000000
800,604,432,-1.000000
800,32,30,2.421880
800,95,223,14.692684
810,654,114,96.871154
810,25,759,43.140533
810,281,250,37.547862
810,228,142,41.219448
810,754,104,91.829715
810,692,758,70.500599
810,558,89,-1.000000
810,604,432,-1.000000
810,32,30,2.421838
810,95,223,14.703091
820,654,114,96.805591
820,25,759,43.230392
820,281,250,37.547491
820,228,142,41.219134
820,754,104,91.819929
820,692,758,70.507321
820,558,89,-1.000000
820,604,432,-1.000000
820,32,30,2.421836
820,95,223,14.713308
830,654,114,96.739259
830,25,759,43.320490
830,281,250,37.547160
830,228,142,41.218821
830,754,104,91.808418
830,692,758,70.513740
830,558,89,-1.000000
830,604,432,-1.000000
830,32,30,2.421776
830,95,223,14.723226
840,654,114,96.672165
840,25,759,43.410829
840,281,250,37.546840
